City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,270.25,87,100,1.75,RU,1714705146
1,adamstown,-25.066,-130.1015,294.04,74,97,8.02,PN,1714705146
2,sonamukhi,23.3,87.4167,308.33,7,0,2.59,IN,1714705146
3,grytviken,-54.2811,-36.5092,270.75,78,30,3.03,GS,1714705146
4,isafjordur,66.0755,-23.124,274.82,74,25,1.24,IS,1714705146
5,senatobia,34.6176,-89.9687,292.4,90,100,1.79,US,1714704959
6,porto novo,6.4965,2.6036,303.05,82,100,2.79,BJ,1714705146
7,kalajoki,64.25,23.95,276.18,96,62,1.12,FI,1714705147
8,papatowai,-46.5619,169.4708,283.42,80,97,4.61,NZ,1714705147
9,coruripe,-10.1256,-36.1756,298.16,87,21,2.5,BR,1714705147
10,sapele,5.8941,5.6767,298.89,95,100,1.18,NG,1714705147
11,ancud,-41.8697,-73.8203,281.34,79,100,3.85,CL,1714705147
12,jamestown,42.097,-79.2353,287.22,64,0,3.09,US,1714705147
13,port-aux-francais,-49.35,70.2167,275.97,77,77,18.49,TF,1714705147
14,puerto natales,-51.7236,-72.4875,276.61,94,99,2.04,CL,1714705148
15,oyama,36.3,139.8,295.19,31,0,2.03,JP,1714705148
16,saipan,15.1355,145.701,304.54,62,40,4.12,MP,1714705148
17,ushuaia,-54.8,-68.3,274.96,87,0,1.03,AR,1714705103
18,georgetown,5.4112,100.3354,302.12,79,20,1.54,MY,1714704864
19,fortuna,40.5982,-124.1573,285.35,92,100,3.6,US,1714705148
20,santa marta de ortigueira,43.6833,-7.85,283.76,89,97,0.45,ES,1714705149
21,marsh harbour,26.5412,-77.0636,296.59,77,3,5.04,BS,1714705149
22,ganye,8.4333,12.0667,298.41,71,100,1.62,NG,1714705149
23,happy valley-goose bay,53.3168,-60.3315,274.32,93,100,6.69,CA,1714705149
24,wailua homesteads,22.0669,-159.378,297.21,78,75,8.75,US,1714705149
25,tazacorte,28.629,-17.9293,289.9,80,75,2.68,ES,1714705149
26,cabo san lucas,22.8909,-109.9124,292.8,71,20,5.14,MX,1714705094
27,mandera,3.9366,41.867,301.61,65,92,3.41,KE,1714705150
28,st. john's,47.5649,-52.7093,276.14,97,100,4.12,CA,1714705045
29,blackmans bay,-43.0167,147.3167,287.29,68,81,0.45,AU,1714705150
30,bamboo flat,11.7,92.7167,305.2,66,20,1.03,IN,1714705150
31,pozanti,37.4278,34.8717,286.27,78,48,3.96,TR,1714705150
32,afaahiti,-17.75,-149.2833,301.08,82,95,9.7,PF,1714705150
33,port alfred,-33.5906,26.891,294.87,50,0,4.81,ZA,1714705151
34,waitangi,-43.9535,-176.5597,283.05,83,88,2.24,NZ,1714705151
35,kirovskiy,45.0917,133.5136,291.4,22,1,4.67,RU,1714705151
36,alaghsas,17.0187,8.0168,303.36,11,8,6.18,NE,1714705151
37,sitka,57.0531,-135.33,287.09,54,0,3.09,US,1714705152
38,olonkinbyen,70.9221,-8.7187,270.83,79,100,9.02,SJ,1714705152
39,priozersk,61.0393,30.1291,276.4,75,100,3.42,RU,1714705152
40,walvis bay,-22.9575,14.5053,289.31,46,0,2.31,NA,1714705152
41,uruzgan,32.8333,66.0,285.51,74,100,1.83,AF,1714705152
42,holualoa,19.6228,-155.9522,296.51,82,100,4.63,US,1714705152
43,saudarkrokur,65.7461,-19.6394,277.36,76,93,2.82,IS,1714705041
44,yellowknife,62.456,-114.3525,281.23,42,20,5.14,CA,1714705050
45,clane,53.2914,-6.6892,283.74,92,100,3.6,IE,1714705153
46,tazovsky,67.4667,78.7,259.12,95,99,3.67,RU,1714705153
47,suchiapa,16.6167,-93.0833,302.89,58,91,1.59,MX,1714705153
48,sona,45.4388,10.8255,281.86,99,75,1.54,IT,1714705153
49,necochea,-38.5473,-58.7368,280.17,74,2,4.23,AR,1714704930
50,tevriz,57.509,72.4042,275.41,57,76,2.43,RU,1714705154
51,mangrol,21.1167,70.1167,300.86,70,11,5.2,IN,1714705154
